day_diff,ARE,AUS,CAN,DEU,ESP,FRA,GBR,HKG,IDN,IND,IRL,ITA,JPN,MEX,MYS,NLD,NZL,PHL,SAU,THA,TUR,TWN,USA,VNM
1,2458,2812,2628,966,148,513,1421,2950,14519,9959,28,124,5705,197,8952,952,200,2503,2475,2550,328,192,18262,2292
2,1912,1921,1751,582,100,318,1088,1977,10574,7840,16,95,3741,170,6838,597,184,1898,2130,2082,271,150,12176,1685
3,1510,1383,1240,408,83,208,885,1462,8124,6387,19,50,2704,107,5699,383,151,1420,1838,1777,288,105,8836,1231
4,1291,1121,921,295,48,137,753,1134,6601,5297,6,34,1968,118,4642,263,136,1193,1550,1590,238,74,6755,1016
5,1051,947,736,240,37,87,620,963,5404,4602,5,40,1642,83,4024,206,131,998,1464,1349,200,56,5342,856
6,923,809,643,176,32,51,492,784,4277,4099,3,43,1406,79,3539,163,95,785,1320,1227,184,64,4439,657
7,825,751,522,156,20,74,469,650,3667,3583,3,22,1044,69,3183,125,126,667,1185,1122,153,41,3679,602
8,685,701,434,123,19,63,371,535,3053,3288,5,17,914,65,2837,113,86,581,1110,1077,142,42,3023,448
9,588,623,397,101,18,37,320,449,2546,2970,3,17,848,52,2599,83,92,502,1005,967,125,42,2677,357
10,587,617,348,87,16,27,307,462,2387,2803,1,12,732,57,2309,80,95,404,991,876,108,38,2279,295
11,512,548,315,100,9,20,246,409,1998,2704,5,14,603,51,2149,61,80,382,857,810,81,42,2013,257
12,438,529,312,80,16,20,229,364,1730,2536,3,13,595,67,1923,52,83,314,876,754,97,50,1826,248
13,391,517,282,62,6,14,204,329,1473,2636,4,15,524,45,1803,44,87,295,760,696,65,44,1585,191
14,376,483,256,72,5,20,178,320,1337,2577,1,5,540,57,1697,36,88,264,704,625,64,38,1470,183
15,339,490,259,62,6,14,187,266,1273,2593,1,10,476,54,1519,38,93,239,715,613,50,43,1262,134
16,304,455,217,52,7,11,165,289,1107,2560,0,5,520,56,1477,28,86,236,665,514,60,37,1151,93
17,301,467,214,48,4,14,130,273,1047,2745,0,9,501,41,1319,24,74,210,665,498,56,50,1081,106
18,296,433,217,40,6,6,117,234,979,2826,1,4,500,47,1282,20,89,172,593,486,33,55,943,92
19,295,416,197,53,3,6,118,224,844,3017,2,4,485,45,1117,13,89,179,575,407,33,53,827,77
20,237,449,176,33,4,12,113,203,856,3122,0,7,481,32,1098,15,73,133,524,363,32,59,816,71
21,244,475,188,27,2,12,101,209,819,3817,2,3,485,40,1043,11,80,132,485,293,29,68,751,70
22,224,472,180,27,2,6,91,201,826,4059,1,4,510,37,982,9,78,90,491,290,27,77,692,60
23,251,493,156,25,2,9,71,170,770,4371,4,3,597,37,917,14,90,117,441,227,15,98,614,52
24,230,449,191,16,1,12,69,149,724,4433,0,4,516,29,864,14,74,108,386,215,12,56,513,47
25,198,514,163,9,3,4,57,145,772,4626,1,0,535,28,791,4,84,81,400,190,25,61,545,43
26,262,629,188,12,1,4,67,123,926,6914,0,1,753,34,748,11,116,58,426,158,15,83,601,57
27,256,622,163,10,1,6,53,88,1022,7024,0,2,676,19,705,8,89,77,359,115,10,72,420,47
28,153,399,108,2,0,0,29,58,685,4476,0,0,379,18,604,5,66,37,279,84,7,31,246,30
29,129,407,99,4,3,0,34,30,635,3516,0,1,343,23,512,13,65,33,189,55,2,27,156,29
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
